QUERY

SELECT *
FROM `travel-sample` r
LEFT JOIN `travel-sample` a
ON r.airlineid = META(a).id
WHERE r.sourceairport = "SFO"

RESULT

a.callsign	a.country	a.iata	a.icao	a.id	a.name	a.type	r.airline	r.airlineid	r.destinationairport	r.distance	r.equipment	r.id	r.schedule	r.sourceairport	r.stops	r.type
							"AI"	"airline_218"	"HKG"	11128.182035009515	"77W"	10624	[{"day":0,"flight":"AI472","utc":"09:43:00"},{"day":1,"flight":"AI468","utc":"10:19:00"},{"day":1,"flight":"AI559","utc":"16:59:00"},{"day":1,"flight":"AI286","utc":"16:53:00"},{"day":1,"flight":"AI125","utc":"13:11:00"},{"day":1,"flight":"AI386","utc":"02:53:00"},{"day":2,"flight":"AI421","utc":"14:44:00"},{"day":2,"flight":"AI517","utc":"12:15:00"},{"day":2,"flight":"AI775","utc":"03:24:00"},{"day":2,"flight":"AI712","utc":"23:44:00"},{"day":3,"flight":"AI976","utc":"06:18:00"},{"day":3,"flight":"AI021","utc":"01:44:00"},{"day":3,"flight":"AI695","utc":"13:43:00"},{"day":3,"flight":"AI914","utc":"06:05:00"},{"day":3,"flight":"AI076","utc":"21:30:00"},{"day":4,"flight":"AI486","utc":"02:44:00"},{"day":4,"flight":"AI485","utc":"12:30:00"},{"day":4,"flight":"AI093","utc":"04:24:00"},{"day":5,"flight":"AI298","utc":"16:39:00"},{"day":5,"flight":"AI386","utc":"18:11:00"},{"day":6,"flight":"AI836","utc":"04:44:00"}]	"SFO"	0	"route"
							"AI"	"airline_218"	"ICN"	9085.308460823562	"77W"	10625	[{"day":0,"flight":"AI120","utc":"17:16:00"},{"day":1,"flight":"AI678","utc":"23:50:00"},{"day":2,"flight":"AI440","utc":"01:53:00"},{"day":3,"flight":"AI255","utc":"04:23:00"},{"day":3,"flight":"AI785","utc":"14:53:00"},{"day":4,"flight":"AI201","utc":"20:51:00"},{"day":4,"flight":"AI437","utc":"12:39:00"},{"day":5,"flight":"AI886","utc":"22:53:00"},{"day":5,"flight":"AI250","utc":"12:26:00"},{"day":6,"flight":"AI588","utc":"22:14:00"}]	"SFO"	0	"route"
							"AM"	"airline_321"	"ATL"	3434.7108309317646	"763"	11212	[{"day":0,"flight":"AM065","utc":"10:49:00"},{"day":0,"flight":"AM126","utc":"01:56:00"},{"day":0,"flight":"AM380","utc":"08:05:00"},{"day":0,"flight":"AM050","utc":"11:27:00"},{"day":1,"flight":"AM756","utc":"00:56:00"},{"day":2,"flight":"AM881","utc":"11:41:00"},{"day":2,"flight":"AM491","utc":"16:17:00"},{"day":2,"flight":"AM159","utc":"10:39:00"},{"day":3,"flight":"AM340","utc":"13:21:00"},{"day":3,"flight":"AM556","utc":"12:55:00"},{"day":3,"flight":"AM227","utc":"01:50:00"},{"day":4,"flight":"AM196","utc":"10:14:00"},{"day":4,"flight":"AM063","utc":"23:33:00"},{"day":5,"flight":"AM213","utc":"12:47:00"},{"day":5,"flight":"AM091","utc":"13:32:00"},{"day":5,"flight":"AM835","utc":"13:47:00"},{"day":5,"flight":"AM852","utc":"13:22:00"},{"day":6,"flight":"AM054","utc":"05:36:00"},{"day":6,"flight":"AM072","utc":"15:31:00"},{"day":6,"flight":"AM897","utc":"15:14:00"},{"day":6,"flight":"AM013","utc":"13:21:00"},{"day":6,"flight":"AM973","utc":"06:22:00"}]	"SFO"	0	"route"
							"AM"	"airline_321"	"BJX"	2730.3376396559934	"738"	11213	[{"day":0,"flight":"AM270","utc":"02:51:00"},{"day":0,"flight":"AM879","utc":"10:07:00"},{"day":0,"flight":"AM672","utc":"04:00:00"},{"day":0,"flight":"AM141","utc":"18:18:00"},{"day":0,"flight":"AM424","utc":"03:17:00"},{"day":1,"flight":"AM725","utc":"19:56:00"},{"day":1,"flight":"AM731","utc":"07:16:00"},{"day":1,"flight":"AM462","utc":"14:37:00"},{"day":1,"flight":"AM353","utc":"06:27:00"},{"day":1,"flight":"AM479","utc":"17:40:00"},{"day":2,"flight":"AM698","utc":"07:12:00"},{"day":3,"flight":"AM093","utc":"03:40:00"},{"day":4,"flight":"AM649","utc":"05:11:00"},{"day":4,"flight":"AM998","utc":"02:48:00"},{"day":4,"flight":"AM207","utc":"21:27:00"},{"day":5,"flight":"AM223","utc":"07:29:00"},{"day":5,"flight":"AM595","utc":"04:16:00"},{"day":6,"flight":"AM951","utc":"08:52:00"}]	"SFO"	0	"route"
							"AM"	"airline_321"	"GDL"	2643.8588452377608	"738"	11214	[{"day":0,"flight":"AM227","utc":"12:38:00"},{"day":1,"flight":"AM448","utc":"01:50:00"},{"day":1,"flight":"AM420","utc":"15:21:00"},{"day":2,"flight":"AM357","utc":"08:08:00"},{"day":3,"flight":"AM700","utc":"15:07:00"},{"day":4,"flight":"AM200","utc":"12:28:00"},{"day":4,"flight":"AM849","utc":"16:41:00"},{"day":4,"flight":"AM997","utc":"09:19:00"},{"day":5,"flight":"AM503","utc":"05:18:00"},{"day":5,"flight":"AM993","utc":"07:43:00"},{"day":5,"flight":"AM215","utc":"06:34:00"},{"day":5,"flight":"AM534","utc":"18:26:00"},{"day":6,"flight":"AM799","utc":"10:34:00"},{"day":6,"flight":"AM978","utc":"17:50:00"}]	"SFO"	0	"route"
							"AM"	"airline_321"	"MEX"	3028.410749810075	"737"	11215	[{"day":0,"flight":"AM562","utc":"22:51:00"},{"day":0,"flight":"AM665","utc":"18:10:00"},{"day":0,"flight":"AM429","utc":"23:56:00"},{"day":0,"flight":"AM738","utc":"15:48:00"},{"day":0,"flight":"AM320","utc":"00:55:00"},{"day":1,"flight":"AM282","utc":"05:25:00"},{"day":2,"flight":"AM351","utc":"06:58:00"},{"day":2,"flight":"AM596","utc":"03:22:00"},{"day":3,"flight":"AM838","utc":"02:43:00"},{"day":3,"flight":"AM738","utc":"01:36:00"},{"day":3,"flight":"AM840","utc":"11:30:00"},{"day":3,"flight":"AM119","utc":"12:33:00"},{"day":4,"flight":"AM983","utc":"21:28:00"},{"day":4,"flight":"AM344","utc":"10:12:00"},{"day":4,"flight":"AM558","utc":"10:36:00"},{"day":4,"flight":"AM726","utc":"08:16:00"},{"day":5,"flight":"AM099","utc":"16:22:00"},{"day":5,"flight":"AM774","utc":"12:42:00"},{"day":5,"flight":"AM300","utc":"06:20:00"},{"day":6,"flight":"AM380","utc":"21:27:00"},{"day":6,"flight":"AM926","utc":"21:39:00"},{"day":6,"flight":"AM384","utc":"13:09:00"},{"day":6,"flight":"AM614","utc":"05:34:00"},{"day":6,"flight":"AM733","utc":"17:46:00"}]	"SFO"	0	"route"
							"AM"	"airline_321"	"MLM"	2856.355659261075	"738"	11216	[{"day":0,"flight":"AM327","utc":"19:11:00"},{"day":1,"flight":"AM411","utc":"08:19:00"},{"day":1,"flight":"AM784","utc":"01:30:00"},{"day":2,"flight":"AM637","utc":"08:10:00"},{"day":2,"flight":"AM710","utc":"16:59:00"},{"day":2,"flight":"AM211","utc":"21:09:00"},{"day":2,"flight":"AM755","utc":"22:37:00"},{"day":3,"flight":"AM590","utc":"03:25:00"},{"day":3,"flight":"AM561","utc":"06:03:00"},{"day":3,"flight":"AM859","utc":"10:49:00"},{"day":3,"flight":"AM486","utc":"00:05:00"},{"day":4,"flight":"AM785","utc":"21:07:00"},{"day":4,"flight":"AM091","utc":"23:54:00"},{"day":4,"flight":"AM037","utc":"17:13:00"},{"day":4,"flight":"AM183","utc":"08:59:00"},{"day":4,"flight":"AM806","utc":"04:01:00"},{"day":5,"flight":"AM124","utc":"14:49:00"},{"day":5,"flight":"AM277","utc":"12:10:00"},{"day":5,"flight":"AM796","utc":"16:56:00"},{"day":5,"flight":"AM786","utc":"05:21:00"},{"day":6,"flight":"AM832","utc":"04:57:00"},{"day":6,"flight":"AM153","utc":"17:33:00"},{"day":6,"flight":"AM953","utc":"10:01:00"}]	"SFO"	0	"route"
							"AM"	"airline_321"	"PVR"	2503.582728407229	"73J 739"	11217	[{"day":0,"flight":"AM926","utc":"09:45:00"},{"day":0,"flight":"AM413","utc":"09:33:00"},{"day":1,"flight":"AM131","utc":"15:54:00"},{"day":1,"flight":"AM902","utc":"20:38:00"},{"day":1,"flight":"AM748","utc":"20:30:00"},{"day":1,"flight":"AM664","utc":"08:51:00"},{"day":1,"flight":"AM030","utc":"07:59:00"},{"day":2,"flight":"AM250","utc":"19:27:00"},{"day":2,"flight":"AM443","utc":"08:06:00"},{"day":2,"flight":"AM887","utc":"14:18:00"},{"day":2,"flight":"AM951","utc":"21:56:00"},{"day":2,"flight":"AM008","utc":"08:32:00"},{"day":3,"flight":"AM314","utc":"02:07:00"},{"day":3,"flight":"AM425","utc":"08:58:00"},{"day":3,"flight":"AM896","utc":"14:03:00"},{"day":3,"flight":"AM955","utc":"20:04:00"},{"day":4,"flight":"AM391","utc":"12:39:00"},{"day":4,"flight":"AM030","utc":"07:47:00"},{"day":4,"flight":"AM541","utc":"04:08:00"},{"day":4,"flight":"AM692","utc":"02:49:00"},{"day":5,"flight":"AM257","utc":"21:20:00"},{"day":5,"flight":"AM977","utc":"13:08:00"},{"day":5,"flight":"AM388","utc":"19:41:00"},{"day":6,"flight":"AM174","utc":"18:10:00"},{"day":6,"flight":"AM891","utc":"12:57:00"},{"day":6,"flight":"AM096","utc":"00:38:00"},{"day":6,"flight":"AM887","utc":"17:10:00"}]	"SFO"	0	"route"
							"AM"	"airline_321"	"SJD"	2010.8629996970228	"734"	11218	[{"day":0,"flight":"AM853","utc":"06:45:00"},{"day":0,"flight":"AM502","utc":"21:39:00"},{"day":0,"flight":"AM511","utc":"23:41:00"},{"day":0,"flight":"AM469","utc":"06:59:00"},{"day":0,"flight":"AM709","utc":"04:31:00"},{"day":1,"flight":"AM692","utc":"01:14:00"},{"day":1,"flight":"AM842","utc":"22:45:00"},{"day":2,"flight":"AM560","utc":"10:23:00"},{"day":2,"flight":"AM408","utc":"03:37:00"},{"day":2,"flight":"AM166","utc":"20:44:00"},{"day":2,"flight":"AM947","utc":"22:50:00"},{"day":3,"flight":"AM061","utc":"05:55:00"},{"day":3,"flight":"AM685","utc":"06:17:00"},{"day":3,"flight":"AM565","utc":"00:22:00"},{"day":4,"flight":"AM196","utc":"17:23:00"},{"day":4,"flight":"AM103","utc":"04:19:00"},{"day":4,"flight":"AM606","utc":"07:01:00"},{"day":4,"flight":"AM307","utc":"01:41:00"},{"day":4,"flight":"AM619","utc":"09:37:00"},{"day":5,"flight":"AM233","utc":"19:42:00"},{"day":5,"flight":"AM437","utc":"09:09:00"},{"day":6,"flight":"AM636","utc":"05:15:00"},{"day":6,"flight":"AM016","utc":"04:23:00"},{"day":6,"flight":"AM845","utc":"04:37:00"}]	"SFO"	0	"route"
							"AS"	"airline_439"	"DFW"	2351.9304268250853	"738 757 763"	11979	[{"day":0,"flight":"AS454","utc":"09:26:00"},{"day":1,"flight":"AS370","utc":"06:26:00"},{"day":1,"flight":"AS947","utc":"21:57:00"},{"day":1,"flight":"AS224","utc":"22:22:00"},{"day":1,"flight":"AS726","utc":"21:43:00"},{"day":1,"flight":"AS686","utc":"23:10:00"},{"day":2,"flight":"AS344","utc":"10:27:00"},{"day":2,"flight":"AS422","utc":"03:38:00"},{"day":2,"flight":"AS907","utc":"07:04:00"},{"day":2,"flight":"AS586","utc":"09:59:00"},{"day":3,"flight":"AS114","utc":"01:26:00"},{"day":3,"flight":"AS809","utc":"06:39:00"},{"day":4,"flight":"AS740","utc":"19:04:00"},{"day":4,"flight":"AS453","utc":"21:35:00"},{"day":4,"flight":"AS940","utc":"10:34:00"},{"day":4,"flight":"AS229","utc":"19:54:00"},{"day":5,"flight":"AS321","utc":"13:07:00"},{"day":5,"flight":"AS638","utc":"13:06:00"},{"day":5,"flight":"AS758","utc":"09:19:00"},{"day":5,"flight":"AS827","utc":"14:24:00"},{"day":6,"flight":"AS974","utc":"16:47:00"},{"day":6,"flight":"AS837","utc":"08:56:00"},{"day":6,"flight":"AS460","utc":"02:10:00"},{"day":6,"flight":"AS556","utc":"16:41:00"}]	"SFO"	0	"route"
